area_nr,fama,bt,altit,exp,north,east,sl_deg,pH_H2O,total_cov,tree_height,tree_cov,tree_rich,shrub_height,shrub_cov,shrub_rich,herb_height,herb_cov,herb_rich
A01,A,both,1793.00,170.00,-0.98,0.17,0.00,5.59,95,18,0.5,2,4,55,13,NA,NA,NA
A02,A,both,1795.00,170.00,-0.98,0.17,0.00,5.51,92,14,40,3,2.3,5,7,NA,NA,NA
A03,A,both,1803.00,270.00,0.00,-1.00,2.00,5.33,90,0,0,0,3,3,5,NA,NA,NA
A04,A,both,1804.00,270.00,0.00,-1.00,0.00,6.37,55,22,6,3,0.8,0.5,1,NA,NA,NA
A05,A,both,1798.00,170.00,-0.98,0.17,1.00,5.57,70,20,4,1,3.5,5,5,NA,NA,NA
A06,A,both,1799.00,170.00,-0.98,0.17,0.00,5.23,95,11,3,2,3,9,9,NA,NA,NA
A07,A,both,1806.00,270.00,0.00,-1.00,8.00,5.76,75,20,20,4,3.5,24,15,NA,NA,NA
A08,A,both,1806.00,270.00,0.00,-1.00,8.00,5.97,30,25,10,4,2.6,18,14,NA,NA,NA
B02,B,both,1802.00,190.00,-0.98,-0.17,0.00,5.54,85,9,4,4,4.5,5,10,NA,NA,NA
B03,B,both,1802.00,190.00,-0.98,-0.17,0.00,5.62,60,12,5,3,4.5,22,9,NA,NA,NA
B04,B,both,1812.00,205.00,-0.91,-0.42,5.00,5.43,40,4.2,5,3,1.8,4,5,NA,NA,NA
B05,B,both,1813.00,230.00,-0.64,-0.77,5.00,5.29,65,22,3,3,2.5,5,6,NA,NA,NA
B06,B,both,1783.00,150.00,-0.87,0.50,1.00,5.14,80,12,3,3,2,5,10,NA,NA,NA
B07,B,both,1783.00,150.00,-0.87,0.50,3.00,5.62,25,12,10,4,2.3,8,8,NA,NA,NA
B08,B,both,1776.00,200.00,-0.94,-0.34,0.00,5.45,20,10,12,6,1.5,7,9,NA,NA,NA
B09,B,both,1776.00,190.00,-0.98,-0.17,0.00,5.18,40,8,10,4,1.6,13,10,NA,NA,NA
C01,C,both,1819.00,225.00,-0.71,-0.71,0.00,4.76,90,12,5,2,6,5,3,NA,NA,NA
C02,C,both,1819.00,215.00,-0.82,-0.57,0.00,4.82,55,21,8,2,3,4.5,5,NA,NA,NA
C03,C,both,1817.00,215.00,-0.82,-0.57,0.00,4.90,60,0,0,0,0,0,0,NA,NA,NA
C04,C,both,1816.00,230.00,-0.64,-0.77,0.00,5.52,60,0,0,0,2.6,0.5,1,NA,NA,NA
C05,C,both,1802.00,250.00,-0.34,-0.94,10.00,5.12,60,10,3,1,0,0,0,NA,NA,NA
C07,C,both,1802.00,250.00,-0.34,-0.94,10.00,5.29,70,7,5,1,2,5,3,NA,NA,NA
C08,C,both,1799.00,285.00,0.26,-0.97,5.00,5.32,80,22,2,2,5,9,9,NA,NA,NA
C09,C,both,1797.00,285.00,0.26,-0.97,7.00,5.88,35,21,10,3,6,15,8,NA,NA,NA
A01,A,field,1718.00,200.00,-0.94,-0.34,10.00,4.89,100,0,0,0,2.6,8,2,2.2,95,27
A01,A,field,1716.00,210.00,-0.87,-0.50,10.00,5.24,100,0,0,0,2.5,1,1,5,100,21
A02,A,field,1754.00,130.00,-0.64,0.77,5.00,5.57,99,12,80,1,1.5,0.5,1,0.9,60,14
A02,A,field,1756.00,175.00,-1.00,0.09,5.00,4.75,90,14,30,1,0,0,0,1.1,90,6
A03,A,field,1724.00,185.00,-1.00,-0.09,0.00,5.28,65,0,0,0,3,4,1,2.7,65,11
A03,A,field,1723.00,210.00,-0.87,-0.50,3.00,5.10,50,0,0,0,0,0,0,2.5,50,14
A04,A,field,1722.00,200.00,-0.94,-0.34,0.00,4.94,60,0,0,0,0,0,0,1.6,60,10
A04,A,field,1722.00,200.00,-0.94,-0.34,0.00,5.24,70,0,0,0,0,0,0,1.6,70,9
A05,A,field,1716.00,250.00,-0.34,-0.94,0.00,5.18,70,0,0,0,3.5,65,2,0.7,15,9
A05,A,field,1718.00,260.00,-0.17,-0.98,0.00,4.32,40,0,0,0,1.5,30,1,0.2,20,8
A06,A,field,1714.00,225.00,-0.71,-0.71,0.00,5.73,95,0,0,0,0,0,0,0.65,95,13
A06,A,field,1714.00,225.00,-0.71,-0.71,0.00,5.50,95,0,0,0,0,0,0,0.65,95,13
A07,A,field,1643.00,195.00,-0.97,-0.26,2.00,5.20,80,8,5,2,2.5,3,1,0.9,77,8
A07,A,field,1644.00,205.00,-0.91,-0.42,2.00,4.97,70,20,20,2,2.1,3,1,3.1,65,11
A08,A,field,1652.00,235.00,-0.57,-0.82,0.00,4.74,30,0,0,0,2.2,25,2,0.6,14,8
A08,A,field,1652.00,235.00,-0.57,-0.82,0.00,4.89,14,0,0,0,1.8,1,1,0.5,14,8
B02,B,field,1522.00,200.00,-0.94,-0.34,0.00,5.27,70,0,0,0,0,0,0,1.5,70,18
B02,B,field,1522.00,200.00,-0.94,-0.34,0.00,4.84,60,2.6,0.5,1,2.6,2,3,2.6,60,11
B03,B,field,1803.00,180.00,-1.00,0.00,3.00,4.99,35,8,1,2,0.8,3,1,1.1,35,14
B03,B,field,1803.00,170.00,-0.98,0.17,3.00,4.94,45,0,0,0,0.7,14,1,0.7,40,17
B04,B,field,1828.00,200.00,-0.94,-0.34,5.00,5.67,40,0,0,0,0,0,0,0.15,40,19
B04,B,field,1830.00,180.00,-1.00,0.00,20.00,5.42,25,0,0,0,0,0,0,0.4,25,17
B05,B,field,1822.00,180.00,-1.00,0.00,15.00,4.87,55,0,0,0,1.6,30,1,0.35,30,7
B05,B,field,1820.00,220.00,-0.77,-0.64,15.00,4.97,35,0,0,0,1.7,35,1,0.15,4,8
B06,B,field,1789.00,170.00,-0.98,0.17,85.00,5.29,50,0,0,0,0,0,0,1.3,50,22
B06,B,field,1789.00,170.00,-0.98,0.17,85.00,5.64,85,0,0,0,0.65,1,1,1.5,85,18
B07,B,field,1806.00,260.00,-0.17,-0.98,85.00,5.75,5,0,0,0,0,0,0,1,5,11
B07,B,field,1806.00,270.00,0.00,-1.00,90.00,5.24,5,6,0.5,2,0,0,0,1,5,9
B08,B,field,1800.00,195.00,-0.97,-0.26,85.00,5.48,25,0,0,0,2.2,1,1,1.1,25,13
B08,B,field,1797.00,160.00,-0.94,0.34,85.00,5.57,18,0,0,0,0,0,0,0.2,18,12
B09,B,field,1805.00,220.00,-0.77,-0.64,25.00,4.86,25,0,0,0,1.6,4,1,0.15,22,10
B09,B,field,1809.00,235.00,-0.57,-0.82,3.00,6.08,20,7.5,5,1,0.4,5,1,0.2,18,10
C01,C,field,1803.00,195.00,-0.97,-0.26,87.50,5.26,90,0,0,0,0,0,0,1.1,90,14
C01,C,field,1804.00,205.00,-0.91,-0.42,87.00,5.21,75,0,0,0,0,0,0,1,75,11
C02,C,field,1814.00,270.00,0.00,-1.00,80.00,5.47,55,0,0,0,0.6,20,1,0.5,45,13
C02,C,field,1814.00,270.00,0.00,-1.00,85.00,5.20,55,5,2,1,1.1,25,1,1.2,40,18
C03,C,field,1785.00,130.00,-0.64,0.77,87.00,5.44,60,0,0,0,0,0,0,1.5,60,8
C03,C,field,1785.00,160.00,-0.94,0.34,86.00,5.23,67,0,0,0,0,0,0,1.55,67,10
C04,C,field,1778.00,190.00,-0.98,-0.17,90.00,5.74,57,0,0,0,0,0,0,0.2,57,18
C04,C,field,1778.00,200.00,-0.94,-0.34,90.00,5.54,65,0,0,0,0,0,0,0.3,65,22
C05,C,field,1821.00,197.50,-0.95,-0.30,85.00,4.82,56,0,0,0,0,0,0,1,56,8
C05,C,field,1820.00,230.00,-0.64,-0.77,85.00,5.26,65,10,2,1,0,0,0,1.2,63,6
C07,C,field,1820.00,220.00,-0.77,-0.64,67.50,4.96,72,0,0,0,0,0,0,1.9,72,16
C07,C,field,1820.00,235.00,-0.57,-0.82,87.50,5.46,55,0,0,0,0,0,0,2.2,57,13
C08,C,field,1796.00,237.50,-0.54,-0.84,87.00,5.54,95,0,0,0,2,4,1,1.5,95,16
C08,C,field,1802.00,255.00,-0.26,-0.97,75.00,5.75,60,0,0,0,1.2,2,2,0.6,60,16
C09,C,field,1802.00,285.00,0.26,-0.97,82.50,5.54,20,21,10,2,0,0,0,0.15,18,10
C09,C,field,1793.00,310.00,0.64,-0.77,1.50,5.58,35,21,30,2,2,1,1,0.11,15,9
A01,A,wall,1720.00,215.00,-0.82,-0.57,87.50,4.86,90,0,0,0,3,25,8,1.8,70,25
A01,A,wall,1717.00,210.00,-0.87,-0.50,82.50,5.15,100,5,10,1,4,50,3,2,75,24
A02,A,wall,1765.00,195.00,-0.97,-0.26,87.00,5.27,95,10,90,1,1.7,1,2,0.8,70,28
A02,A,wall,1756.00,200.00,-0.94,-0.34,75.00,5.72,85,14,70,2,0,0,0,0.65,60,29
A03,A,wall,1728.00,175.00,-1.00,0.09,87.00,5.36,98,0,0,0,4,50,3,1,75,28
A03,A,wall,1724.00,202.50,-0.92,-0.38,89.00,5.20,98,0,0,0,1.7,15,2,1.2,85,29
A04,A,wall,1727.00,215.00,-0.82,-0.57,88.00,5.34,93,0,0,0,0.7,0.5,2,0.75,93,16
A04,A,wall,1725.00,210.00,-0.87,-0.50,82.50,5.17,80,0,0,0,0,0,0,0.25,80,12
A05,A,wall,1714.00,250.00,-0.34,-0.94,85.00,5.58,100,0,0,0,0,0,0,0.8,100,29
A05,A,wall,1711.00,212.50,-0.84,-0.54,80.00,5.19,95,0,0,0,2,36,3,1,95,28
A06,A,wall,1715.00,232.50,-0.61,-0.79,82.50,5.70,90,0,0,0,2.5,15,3,1.2,80,20
A06,A,wall,1715.00,205.00,-0.91,-0.42,82.50,5.71,95,0,0,0,1.1,1,2,0.6,95,33
A07,A,wall,1644.00,205.00,-0.91,-0.42,87.50,4.99,95,20,40,2,3,14,7,1.2,70,29
A07,A,wall,1644.00,195.00,-0.97,-0.26,89.00,5.72,90,13,32,2,2.1,4,2,1.1,78,38
A08,A,wall,1653.00,235.00,-0.57,-0.82,87.00,5.59,95,0,0,0,3.5,73,4,0.7,59,24
A08,A,wall,1654.00,235.00,-0.57,-0.82,87.50,5.80,85,0,0,0,3,37,5,0.5,70,27
B02,B,wall,1524.00,200.00,-0.94,-0.34,88.00,5.63,75,0,0,0,0,0,0,1.1,75,26
B02,B,wall,1806.00,180.00,-1.00,0.00,89.00,5.17,80,9,30,1,0.8,1,1,0.75,80,22
B03,B,wall,1806.00,170.00,-0.98,0.17,87.50,5.41,80,0,0,0,1,0.5,1,0.8,80,28
B03,B,wall,1830.00,210.00,-0.87,-0.50,90.00,5.70,100,0,0,0,1.1,0.5,1,0.9,100,19
B04,B,wall,1835.00,195.00,-0.97,-0.26,89.00,5.59,75,4.2,3,1,0.6,6,2,0.8,73,30
B04,B,wall,1826.00,230.00,-0.64,-0.77,88.00,5.58,80,2.5,4,1,2,1,3,0.8,80,26
B05,B,wall,1826.00,180.00,-1.00,0.00,89.00,5.20,75,0,0,0,0,0,0,1,75,27
B05,B,wall,,,,,,,95,0,0,0,2.5,2,2,0.7,90,34
B06,B,wall,,,,,,,95,0,0,0,1.7,10,3,1.2,90,32
B06,B,wall,,,,,,,100,0,0,0,1.2,4,2,0.9,100,25
B07,B,wall,,,,,,,90,12,61,2,0.4,2,1,2.3,70,21
B07,B,wall,,,,,,,90,0,0,0,1.3,9,3,0.5,90,33
B08,B,wall,,,,,,,95,7,40,1,0.6,5,2,1.3,90,30
B08,B,wall,,,,,,,90,0,0,0,2,6,2,0.5,85,28
B09,B,wall,,,,,,,75,8,4,2,1.1,7,2,1.1,75,24
B09,B,wall,,,,,,,90,4.5,1,1,0.65,4,2,0.8,87,29
C01,C,wall,,,,,,,55,5.5,3,1,2.5,5,2,0.7,55,29
C01,C,wall,,,,,,,85,0,0,0,0,0,0,1,85,25
C02,C,wall,,,,,,,70,7,20,1,0.55,5,1,0.4,60,20
C02,C,wall,,,,,,,70,0,0,0,0,0,0,0.4,70,26
C03,C,wall,,,,,,,20,0,0,0,0,0,0,0.4,20,19
C03,C,wall,,,,,,,21,0,0,0,0,0,0,0.4,21,14
C04,C,wall,,,,,,,55,2.6,1,1,0,0,0,0.75,55,26
C04,C,wall,,,,,,,50,0,0,0,0,0,0,0.8,45,26
C05,C,wall,,,,,,,85,10,3,1,0,0,0,1.1,85,28
C07,C,wall,,,,,,,65,0,0,0,4,1,1,1.1,65,31
C07,C,wall,,,,,,,95,0,0,0,2.5,30,3,1,80,27
C08,C,wall,,,,,,,70,0,0,0,4.5,22,3,3,60,26
C08,C,wall,,,,,,,75,22,5,1,2.2,5,2,1,80,30
C09,C,wall,,,,,,,85,0,0,0,4,30,3,1.2,70,27
C09,C,wall,,,,,,,30,0,0,0,1.2,3,1,0.8,30,13
